Month,Company,Cost Center,Sales,COGS,Operating Expenses,Taxes,Depreciation,Assets,Liabilities,Current Assets,Current Liabilities
Apr,Delta Group,HR,115737,49868.33,30744.0,5425.92,3543.42,4660149,2662856.14,1242208.08,1280689.03
Apr,Delta Group,Finance,133276,57023.35,25762.79,5894.39,5540.47,3059622,1631149.96,1345809.49,683443.37
Apr,Epsilon Inc,Sales,84853,31989.6,18885.16,3461.7,3071.28,3509090,2114082.49,1471296.76,1240059.26
Apr,Epsilon Inc,Marketing,118890,49559.15,31581.56,4073.64,2645.79,4790416,2269881.45,1872981.33,1088375.96
Apr,Epsilon Inc,Operations,190616,76109.23,52012.5,11813.74,7784.93,4837981,1700918.71,1309248.37,670806.56
Apr,Epsilon Inc,IT,149626,81160.1,40174.89,8621.81,5332.52,2699983,1652075.73,1070394.7,895372.75
Apr,Epsilon Inc,HR,212822,105308.72,52265.83,14732.19,10024.11,2775435,1155587.98,1242100.42,673959.48
Apr,Epsilon Inc,Finance,239007,117379.93,69022.17,8896.56,8852.43,3929465,1744118.41,1077084.1,905733.08
May,Alpha Corp,Sales,222194,118846.96,65693.6,15058.23,7604.91,2838003,1712351.17,890622.37,939523.66
May,Alpha Corp,Marketing,167312,80315.36,34249.53,8771.68,5760.86,2999554,1676410.63,953783.16,867425.21
May,Alpha Corp,Operations,174071,79706.81,46756.95,7441.55,6749.91,3011727,1439741.39,1280987.11,612252.65
May,Alpha Corp,IT,203618,106699.86,31192.33,13232.74,7303.39,4538911,2858501.63,1198299.47,865684.73
May,Alpha Corp,HR,125084,62972.0,26303.87,6153.51,4856.41,4706871,2031043.51,1551655.22,665186.65
May,Alpha Corp,Finance,104574,45413.5,27255.89,4136.02,2438.06,2558221,1123317.05,1075896.59,578133.09
May,Beta Holdings,Sales,246472,91661.34,51449.68,8620.97,12001.33,2591652,1518457.99,694257.44,645761.06
May,Beta Holdings,Marketing,204343,107656.02,49066.79,13517.08,10150.85,2810694,1819504.41,832905.15,1060442.71
May,Beta Holdings,Operations,249269,117542.14,56559.95,9778.02,6305.47,4573224,1856415.58,1856348.88,751918.07
May,Beta Holdings,IT,153781,83629.26,43453.57,10320.26,7665.56,2288316,979559.45,807889.01,438211.7
May,Beta Holdings,HR,192855,102114.26,42333.04,10591.11,8184.02,4944088,2609894.96,1809621.45,854599.8
May,Beta Holdings,Finance,163560,70041.95,31230.79,8025.41,3488.95,4710241,2866833.01,1940163.41,1423590.7
May,Gamma Ltd,Sales,144772,71957.84,27826.43,5806.22,2917.51,3725690,2112563.23,1300918.35,685133.54
May,Gamma Ltd,Marketing,206267,76709.41,58615.3,14368.36,4506.01,2402732,1187372.42,885362.43,649972.76
May,Gamma Ltd,Operations,212663,102593.4,49245.7,13733.72,8935.52,4366610,2665589.39,1305865.75,925498.5
May,Gamma Ltd,IT,185228,95837.46,47162.89,10596.08,7142.08,3726470,2289882.8,1648080.02,1006726.37
May,Gamma Ltd,HR,127638,44804.64,34844.16,4996.39,6032.3,2616529,1557855.48,1089592.89,704525.06
May,Gamma Ltd,Finance,244134,94876.96,39699.79,10511.76,8982.99,4617703,1976104.78,1739955.76,912951.74
May,Delta Group,Sales,212079,78765.32,56021.56,10954.02,10368.49,2323390,1086522.56,664255.96,571630.0
May,Delta Group,Marketing,224579,86406.93,59654.5,15247.1,5612.53,4046475,1498026.01,1482766.39,604850.35
May,Delta Group,Operations,100953,36841.68,28051.02,7026.93,4066.55,4773707,2744382.91,1317625.47,1447604.24
May,Delta Group,IT,137372,48688.03,27274.05,6806.2,5922.41,4912825,1721006.05,1384373.44,758209.56
May,Delta Group,HR,203395,88524.88,44280.73,7433.06,8917.71,3386652,1488475.31,1415584.75,791640.88
May,Delta Group,Finance,132307,63626.73,25269.17,9001.45,3245.72,4981467,2836352.76,2151520.02,1580438.53
May,Epsilon Inc,Sales,128901,64710.73,27887.06,5475.47,3818.34,3986062,2287007.47,1156244.29,1281723.25
May,Epsilon Inc,Marketing,162711,68941.51,45502.74,7961.19,7980.29,4474968,2732357.06,1813791.21,1451637.24
May,Epsilon Inc,Operations,165553,83141.51,40383.85,5835.71,3472.6,3887106,1576756.59,1331020.73,473609.67
May,Epsilon Inc,IT,91536,43155.68,17129.22,4790.67,2450.07,4874299,1799896.72,1785915.27,685217.12
May,Epsilon Inc,HR,134615,58779.55,40068.52,4843.88,4568.56,2160081,1067040.38,799238.85,413476.84
May,Epsilon Inc,Finance,232876,116766.79,68208.75,15442.65,9717.58,2593586,989398.73,773949.41,589680.44
Jun,Alpha Corp,Sales,249631,88287.88,55506.32,9589.32,7583.91,3778599,1333585.68,1191363.02,607199.56
Jun,Alpha Corp,Marketing,238496,125569.74,38726.09,15020.61,7329.95,2678758,1098981.17,1041069.26,600518.72
Jun,Alpha Corp,Operations,89078,43120.62,26076.03,3114.95,4176.57,2215048,1397393.32,576785.78,646139.16
Jun,Alpha Corp,IT,144881,77806.94,42320.11,7970.22,6302.71,3597690,1782006.14,1374907.69,830237.43
Jun,Alpha Corp,HR,91653,47060.11,19966.4,5109.02,3280.45,2619369,1261441.39,1034559.89,602948.29
Jun,Alpha Corp,Finance,190091,72597.45,53371.38,7369.55,9366.92,2594604,1049868.56,1058441.98,522427.54
Jun,Beta Holdings,Sales,194994,74552.94,29859.27,10945.11,5843.86,4089271,2627102.87,1554189.34,945396.43
Jun,Beta Holdings,Marketing,96309,34298.57,18168.93,4671.46,4434.85,4605214,2186427.63,1930731.63,1068352.92
Jun,Beta Holdings,Operations,105963,53357.12,23918.68,5481.68,3753.2,2720488,1310145.2,1074732.95,584325.65
Jun,Beta Holdings,IT,123585,58028.68,33237.37,6945.52,6150.08,4797753,2992401.74,1401579.28,1456970.41
Jun,Beta Holdings,HR,206503,106803.27,38279.22,12604.94,6640.99,3257949,1315901.67,969268.06,778248.63
Jun,Beta Holdings,Finance,113142,48945.93,18144.57,5372.73,2593.42,2622605,1322960.52,844076.7,632223.33
Jun,Gamma Ltd,Sales,125893,60482.1,24778.54,5786.27,5758.29,3036548,1359028.37,1228874.65,461066.82
Jun,Gamma Ltd,Marketing,223660,88883.73,41422.08,14615.82,7439.1,3042377,1474437.12,1167901.84,506803.8
Jun,Gamma Ltd,Operations,217348,86883.31,52722.48,12665.1,5436.15,4693075,2176683.74,1741635.95,885952.98
Jun,Gamma Ltd,IT,95563,42518.48,26435.17,5946.58,3589.41,2460494,1273163.12,880810.52,395006.92
Jun,Gamma Ltd,HR,161537,60510.82,29830.98,5180.15,6332.26,2394274,1162802.41,1045759.03,459128.85
Jun,Gamma Ltd,Finance,220272,102852.52,55779.74,10109.42,7576.68,3807610,1338306.36,1676728.11,658093.39
Jun,Delta Group,Sales,226470,99861.49,51485.55,11222.46,9060.14,2012115,780142.16,556436.18,267637.68
Jun,Delta Group,Marketing,81969,31998.3,20575.44,5639.18,1870.29,3678687,1546403.72,1628442.04,582363.21
Jun,Delta Group,Operations,128320,66421.39,37429.93,7356.58,4480.32,4833552,2896569.63,2044214.35,1536791.85
Jun,Delta Group,IT,130138,69778.66,32980.74,7425.74,3444.79,4930639,2948776.86,1890378.9,1395230.2
Jun,Delta Group,HR,88125,42438.27,26429.75,2813.7,4345.9,4825896,3127185.83,1932701.63,1023041.67
Jun,Delta Group,Finance,236995,113781.85,62751.21,15885.06,7855.24,2036321,1178389.52,834001.19,507502.9
Jun,Epsilon Inc,Sales,183754,78120.16,35745.74,10283.42,5485.32,3399872,1563731.89,1119355.29,795376.84
Jun,Epsilon Inc,Marketing,115643,53161.08,27693.36,5993.48,3854.68,2079973,773664.21,771024.61,387190.96
Jun,Epsilon Inc,Operations,105537,46721.1,21842.77,6810.66,3754.21,4861509,3034898.87,2006603.68,1009636.51
Jun,Epsilon Inc,IT,101636,43679.55,24090.36,5218.41,3886.27,3008559,1548879.2,1201543.68,797126.45
Jun,Epsilon Inc,HR,104596,40704.12,15808.06,5846.81,4909.83,3366808,1839650.57,1097629.58,660703.58
Jun,Epsilon Inc,Finance,248722,92097.82,55435.35,10016.3,7100.06,4788890,3011645.59,1707009.62,1428362.11
Jul,Alpha Corp,Sales,194793,91955.3,50144.12,7968.0,6312.55,2086365,843610.85,805803.34,299002.26
Jul,Alpha Corp,Marketing,152588,59038.9,29646.59,9420.22,3899.67,2155683,1029033.02,576446.43,560539.59
Jul,Alpha Corp,Operations,232747,83482.28,57016.66,15839.86,8855.64,4262292,2622426.04,1260001.52,953549.39
Jul,Alpha Corp,IT,161929,62335.33,33052.28,10725.47,6978.87,4329753,1847477.46,1344007.72,959926.05
Jul,Alpha Corp,HR,247523,107610.04,61913.54,8371.58,9583.05,4558944,2175452.6,1279224.92,806158.94
Jul,Alpha Corp,Finance,97633,43405.52,22485.24,3625.88,2867.3,4786267,1971252.06,1807256.89,743290.46
Jul,Beta Holdings,Sales,87421,33076.16,16713.24,4710.41,3520.9,3435177,1643594.39,1351809.32,834503.57
Jul,Beta Holdings,Marketing,189847,71321.5,31441.79,11195.95,7091.09,2694892,1007420.19,719890.95,572473.84
Jul,Beta Holdings,Operations,225282,96924.78,46192.59,9854.38,8676.66,2116492,1070347.97,557743.29,578102.38
Jul,Beta Holdings,IT,116378,55632.6,22190.04,6250.95,4702.13,3548075,1587054.39,1123321.9,794869.98
Jul,Beta Holdings,HR,230273,97310.8,68925.79,11019.51,6909.82,3704597,1921533.88,1635672.4,677515.33
Jul,Beta Holdings,Finance,90526,45350.59,15893.8,4198.52,2958.45,4222134,2435533.77,1349032.21,1216484.62
Jul,Gamma Ltd,Sales,221826,118773.53,41081.36,10197.93,5450.82,3271300,1868416.3,1320689.11,697100.54
Jul,Gamma Ltd,Marketing,178452,65774.88,33648.39,10977.67,8198.19,2377844,1421523.39,966369.16,728706.17
Jul,Gamma Ltd,Operations,198413,74113.17,36528.55,8664.1,6235.58,4657025,2938989.55,1680070.43,1151076.69
Jul,Gamma Ltd,IT,118067,47928.2,34399.77,7666.5,2934.31,2614805,1305020.53,1172561.2,724844.27
Jul,Gamma Ltd,HR,141929,63900.78,29745.03,7322.02,5512.31,4043037,2479967.75,1712676.31,1343591.02
Jul,Gamma Ltd,Finance,111750,45922.08,18118.91,5153.82,2816.74,4642049,1936125.9,2049300.2,913681.88
Jul,Delta Group,Sales,216728,100785.6,48092.63,9221.58,8277.09,4259776,2265672.11,1716527.69,798539.73
Jul,Delta Group,Marketing,91138,49265.51,24951.77,5163.18,2155.67,4984852,1783298.76,1380969.79,1050246.22
Jul,Delta Group,Operations,208955,105594.31,35168.23,11235.85,10049.37,2552467,1229915.17,692057.87,605423.15
Jul,Delta Group,IT,229340,81080.3,55129.43,10226.71,7245.73,4096594,1669504.36,1197643.64,743564.65
Jul,Delta Group,HR,199863,81838.1,42880.72,7360.27,4444.73,4016411,1771167.14,1085271.05,899130.17
Jul,Delta Group,Finance,234363,110996.74,57413.88,9176.67,6322.97,2427387,1072604.27,909734.08,491373.36
Jul,Epsilon Inc,Sales,137009,51534.85,38772.26,6575.25,3540.13,4456070,2262130.11,1543257.22,798681.56
Jul,Epsilon Inc,Marketing,156373,84873.71,29286.64,5528.12,5091.1,3282789,1404849.73,1319871.46,479240.48
Jul,Epsilon Inc,Operations,216614,102629.47,43003.31,13727.29,8421.73,4637492,2738258.78,2049378.8,1222238.82
Jul,Epsilon Inc,IT,221706,97744.74,61335.75,7521.0,7681.5,4725571,2879754.07,1411507.24,1426956.14
Jul,Epsilon Inc,HR,152930,65022.42,31988.59,7398.43,6660.18,4075020,1589027.57,1102007.28,790712.26
Jul,Epsilon Inc,Finance,170536,83157.95,36774.46,6853.3,7712.69,3462073,1474557.58,1406412.06,807378.75
Aug,Alpha Corp,Sales,207734,100100.95,59052.06,11522.34,7980.73,3055675,1482570.42,1303220.6,491780.53
Aug,Alpha Corp,Marketing,143936,63138.19,22623.09,4536.99,6100.9,3600946,1337308.59,908956.89,784933.84
Aug,Alpha Corp,Operations,168340,71968.56,36915.62,11727.16,8269.28,3021318,1767932.7,969747.22,748965.73
Aug,Alpha Corp,IT,184797,95375.01,29624.24,8680.26,4153.96,2039279,1305868.64,630318.62,693111.91
Aug,Alpha Corp,HR,207896,113344.52,51995.32,6323.6,5750.9,2943693,1091451.57,1301010.17,484033.22
Aug,Alpha Corp,Finance,86910,47252.77,23448.94,3625.27,4293.28,3370485,1671102.14,1462990.82,762407.67
Aug,Beta Holdings,Sales,175457,65905.01,35221.26,11777.26,4691.45,2415384,1117834.56,869582.65,465685.23
Aug,Beta Holdings,Marketing,172949,70002.54,50025.09,9864.89,6032.71,2084080,1133204.42,640190.52,617351.73
Aug,Beta Holdings,Operations,156272,62772.33,36192.98,8664.16,4161.82,2866183,1646500.53,1036304.71,583154.89
Aug,Beta Holdings,IT,188255,72569.62,43628.86,13062.41,9059.14,2880412,1637180.53,782287.47,827741.13
Aug,Beta Holdings,HR,135731,69705.61,24706.67,6818.33,6137.9,3630668,1721027.16,1458210.61,900143.91
Aug,Beta Holdings,Finance,88706,36325.97,20824.03,5105.51,4098.19,4358638,2672461.98,1467815.38,930696.78
Aug,Gamma Ltd,Sales,233728,116476.58,65962.16,9609.98,6034.53,3143657,1720423.17,981405.03,899272.79
Aug,Gamma Ltd,Marketing,160102,75727.55,40535.04,7206.25,5789.43,3489493,2109099.6,1458582.94,1159591.69
Aug,Gamma Ltd,Operations,195725,97844.71,51632.54,11182.78,8355.1,2745182,1212495.46,1167608.68,726163.89
Aug,Gamma Ltd,IT,180483,77079.81,44489.92,11048.45,4785.74,2547993,1191078.97,847269.76,605884.54
Aug,Gamma Ltd,HR,160073,75861.45,32546.67,9887.37,3648.02,3338486,2044084.01,1175220.33,1056835.23
Aug,Gamma Ltd,Finance,128868,60052.07,30183.81,6756.09,4910.47,4949281,2622181.98,1833357.85,804694.8
Aug,Delta Group,Sales,189458,85190.01,30608.6,6127.46,5688.88,4250041,2389816.25,1732839.44,1087798.27
Aug,Delta Group,Marketing,137775,58512.01,23195.32,8186.62,3730.36,3409854,1419125.26,1260435.68,738937.01
Aug,Delta Group,Operations,227256,121950.72,55992.42,10646.93,8882.37,4127599,1665386.06,1598133.09,994798.26
Aug,Delta Group,IT,196859,84012.84,46415.58,10534.08,5026.65,2663689,1199601.36,679878.23,368586.55
Aug,Delta Group,HR,217469,101622.35,55378.61,14610.58,9455.0,4027410,1722881.81,1352933.33,967947.86
